date_of_event,age,citizenship,event_location,event_location_district,event_location_region,date_of_death,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,ammunition,killed_by,DESIRED_FORMAT,age_group
16-05-2021,42,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,38,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,9,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,49,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,45-64
16-05-2021,5,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,79,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,> 64
16-05-2021,17,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,29,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,48,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,45-64
16-05-2021,84,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,> 64
16-05-2021,89,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,> 64
16-05-2021,40,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,47,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,45-64
16-05-2021,48,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,45-64
16-05-2021,73,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,> 64
16-05-2021,19,Palestinian,Jabalya,North Gaza,Gaza Strip,16-05-2021,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,49,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,16-05-2021,M,No,Deir al-Balah,Deir al-Balah,gunfire,shell,Israeli security forces,May 2021,45-64
16-05-2021,39,Palestinian,Rafah,Rafah,Gaza Strip,16-05-2021,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,23,Palestinian,Rafah,Rafah,Gaza Strip,16-05-2021,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,27,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,16-05-2021,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,30,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,16-05-2021,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,25,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,16-05-2021,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,45,Palestinian,Gaza City,Gaza,Gaza Strip,03-06-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,45-64
16-05-2021,21,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,54,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,45-64
16-05-2021,82,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,> 64
16-05-2021,41,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,9,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,13,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,11,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,15,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,4,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,39,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,Unknown,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,2,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,28,Palestinian,'Abasan al-Jadidah (a-Saghirah),Khan Yunis,Gaza Strip,16-05-2021,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,66,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,> 64
15-05-2021,9,Palestinian,a-Shati' R.C.,Gaza,Gaza Strip,15-05-2021,M,No,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
15-05-2021,24,Palestinian,Gaza City,Gaza,Gaza Strip,03-06-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
15-05-2021,10,Palestinian,a-Shati' R.C.,Gaza,Gaza Strip,15-05-2021,M,No,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
15-05-2021,7,Palestinian,a-Shati' R.C.,Gaza,Gaza Strip,15-05-2021,M,No,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
15-05-2021,12,Palestinian,a-Shati' R.C.,Gaza,Gaza Strip,15-05-2021,M,No,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
15-05-2021,34,Palestinian,a-Shati' R.C.,Gaza,Gaza Strip,15-05-2021,F,No,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
15-05-2021,34,Palestinian,al-Bureij R.C.,Deir al-Balah,Gaza Strip,15-05-2021,M,No,al-Maghazi R.C.,Deir al-Balah,gunfire,missile,Israeli security forces,May 2021,15-44
15-05-2021,5,Palestinian,a-Shati' R.C.,Gaza,Gaza Strip,15-05-2021,M,No,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
15-05-2021,18,Palestinian,Gaza City,Gaza,Gaza Strip,15-05-2021,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
15-05-2021,30,Palestinian,a-Shati' R.C.,Gaza,Gaza Strip,15-05-2021,F,No,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
